title,author,imageLink
작은 별이지만 빛나고 있어,소윤,https://bookthumb-phinf.pstatic.net/cover/188/282/18828218.jpg?type=m106&udate=20210530
미드나잇 라이브러리,매트 헤이그,https://bookthumb-phinf.pstatic.net/cover/190/075/19007535.jpg?type=m106&udate=20210530
오늘부터 수승화강,이승헌,https://bookthumb-phinf.pstatic.net/cover/204/905/20490555.jpg?type=m106&udate=20210530
매매의 기술(박병창의 돈을 부르는),박병창,https://bookthumb-phinf.pstatic.net/cover/205/144/20514419.jpg?type=m106&udate=20210530
달러구트 꿈 백화점,이미예,https://bookthumb-phinf.pstatic.net/cover/164/054/16405427.jpg?type=m106&udate=20210530
공간의 미래,유현준,https://bookthumb-phinf.pstatic.net/cover/189/001/18900126.jpg?type=m106&udate=20210530
월든,헨리 데이빗 소로우,https://bookthumb-phinf.pstatic.net/cover/204/733/20473339.jpg?type=m106&udate=20210530
안녕 소중한 사람,정한경,https://bookthumb-phinf.pstatic.net/cover/167/104/16710402.jpg?type=m106&udate=20210530
플랫폼 경제와 공짜 점심,강성호,https://bookthumb-phinf.pstatic.net/cover/204/734/20473492.jpg?type=m106&udate=20210530
질서 너머,조던 피터슨,https://bookthumb-phinf.pstatic.net/cover/181/222/18122270.jpg?type=m106&udate=20210530